wardnum,origin,Name1,Name2,Pop_Count,Population,SC_Populat,ST_Populat
"1","http://www.pmc.gov.in/sites/default/files/final_ward_maps/1_F_Ward.pdf","01 Dhanori - Vishrantwadi","Dhanori - Vishrantwadi","91942","55488","10927","1652"
"2","http://www.pmc.gov.in/sites/default/files/final_ward_maps/2_F_Ward.pdf","02 Tingrenagar - Sanjay Park","Tingrenagar - Sanjay Park","73579","56969","7269","872"
"3","http://www.pmc.gov.in/sites/default/files/final_ward_maps/3_F_Ward.pdf","03 Lohegaon - Vimannagar","Lohegaon - Vimannagar","162876","61836","8692","727"
"4","http://www.pmc.gov.in/sites/default/files/final_ward_maps/4_F_Ward.pdf","04 East Kharadi - Wagholi","East Kharadi - Wagholi","206502","58912","8564","726"
"5","http://www.pmc.gov.in/sites/default/files/final_ward_maps/5_F_Ward.pdf","05 West Kharadi - Vadgaon Sheri","West Kharadi - Vadgaon Sheri","78022","67367","7315","593"
"6","http://www.pmc.gov.in/sites/default/files/final_ward_maps/6_F_Ward.pdf","06 Vadgaon Sheri - Ramwadi","Vadgaon Sheri - Ramwadi","48359","60110","6588","684"
"7","http://www.pmc.gov.in/sites/default/files/final_ward_maps/7_F_Ward.pdf","07 Kalyaninagar - Nagpur Chawl","Kalyaninagar - Nagpur Chawl","79377","67739","14154","633"
"8","http://www.pmc.gov.in/sites/default/files/final_ward_maps/8_F_Ward.pdf","08 Kalas - Phulenagar","Kalas - Phulenagar","44635","62273","15887","1123"
"9","http://www.pmc.gov.in/sites/default/files/final_ward_maps/9_F_Ward.pdf","09 Yerwada","Yerwada","20720","71390","16139","601"
"10","http://www.pmc.gov.in/sites/default/files/final_ward_maps/10_F_Ward.pdf","10 Shivajinagar Gaothan - Sangamwadi","Shivajinagar Gaothan - Sangamwadi","97958","62481","11537","1270"
"11","http://www.pmc.gov.in/sites/default/files/final_ward_maps/11_F_Ward.pdf","11 Bopodi - Savitribai Phule Pune University","Bopodi - Savitribai Phule Pune University","98234","62269","13115","844"
"12","http://www.pmc.gov.in/sites/default/files/final_ward_maps/12_F_Ward.pdf","12 Aundh - Balewadi","Aundh - Balewadi","160825","63362","8996","1045"
"13","http://www.pmc.gov.in/sites/default/files/final_ward_maps/13_F_Ward.pdf","13 Baner - Sus - Mahalunge","Baner - Sus - Mahalunge","114505","31869","3468","615"
"14","http://www.pmc.gov.in/sites/default/files/final_ward_maps/14_F_Ward.pdf","14 Pashan - Bawdhan","Pashan - Bawdhan","87332","57995","7742","1628"
"15","http://www.pmc.gov.in/sites/default/files/final_ward_maps/15_F_Ward.pdf","15 Gokhalenagar - Vadarwadi","Gokhalenagar - Vadarwadi","41529","68341","8691","779"
"16","http://www.pmc.gov.in/sites/default/files/final_ward_maps/16_F_Ward.pdf","16 Fergusson College - Erandwane","Fergusson College - Erandwane","138335","65708","2044","369"
"17","http://www.pmc.gov.in/sites/default/files/final_ward_maps/17_F_Ward.pdf","17 Shaniwar peth - Navi Peth","Shaniwar peth - Navi Peth","65829","67951","4359","464"
"18","http://www.pmc.gov.in/sites/default/files/final_ward_maps/18_F_Ward.pdf","18 Shaniwarwada - Kasba Peth","Shaniwarwada - Kasba Peth","33756","67701","3242","437"
"19","http://www.pmc.gov.in/sites/default/files/final_ward_maps/19_F_Ward.pdf","19 Chhatrapati Shivaji Maharaj Stadium - Rasta peth","Chhatrapati Shivaji Maharaj Stadium - Rasta peth","32176","58994","8785","552"
"20","http://www.pmc.gov.in/sites/default/files/final_ward_maps/20_F_Ward.pdf","20 Pune Station -Matoshri Ramabai Ambedkar Road","Pune Station -Matoshri Ramabai Ambedkar Road","95048","67129","19562","1083"
"21","http://www.pmc.gov.in/sites/default/files/final_ward_maps/21_F_Ward.pdf","21 Koregaon park - Mundhwa","Koregaon park - Mundhwa","104261","67574","11761","756"
"22","http://www.pmc.gov.in/sites/default/files/final_ward_maps/22_F_Ward.pdf","22 Manjari Bk. - Shewalwadi","Manjari Bk. - Shewalwadi","110103","61878","11494","1182"
"23","http://www.pmc.gov.in/sites/default/files/final_ward_maps/23_F_Ward.pdf","23 Sadesataranali - Aakashwani","Sadesataranali - Aakashwani","83373","55659","6395","726"
"24","http://www.pmc.gov.in/sites/default/files/final_ward_maps/24_F_Ward.pdf","24 Magarpatta - Sadhana Vidyalaya","Magarpatta - Sadhana Vidyalaya","101408","53843","7406","634"
"25","http://www.pmc.gov.in/sites/default/files/final_ward_maps/25_F_Ward.pdf","25 Hadapsar Gaothan - Satavwadi","Hadapsar Gaothan - Satavwadi","38205","57385","7387","545"
"26","http://www.pmc.gov.in/sites/default/files/final_ward_maps/26_F_Ward.pdf","26 Wanwadi Gaothan - Vaiduwadi","Wanwadi Gaothan - Vaiduwadi","58172","59020","10993","624"
"27","http://www.pmc.gov.in/sites/default/files/final_ward_maps/27_F_Ward.pdf","27 Kasewadi - Lohiyanagar","Kasewadi - Lohiyanagar","29463","68501","16049","205"
"29","http://www.pmc.gov.in/sites/default/files/final_ward_maps/29_F_Ward.pdf","29 Ghorpade peth Udyan - Mahatma Phule Mandai","Ghorpade peth Udyan - Mahatma Phule Mandai","40011","67592","5008","359"
"30","http://www.pmc.gov.in/sites/default/files/final_ward_maps/30_F_Ward.pdf","30 Jai Bhavaninagar - Kelewadi","Jai Bhavaninagar - Kelewadi","33290","65117","5572","536"
"31","http://www.pmc.gov.in/sites/default/files/final_ward_maps/31_F_Ward.pdf","31 Kothrud Gaothan - Shivtirthnagar","Kothrud Gaothan - Shivtirthnagar","44269","65469","3598","543"
"32","http://www.pmc.gov.in/sites/default/files/final_ward_maps/32_F_Ward.pdf","32 Bhusari colony - Bavdhan Khurd","Bhusari colony - Bavdhan Khurd","32602","60952","4712","428"
"33","http://www.pmc.gov.in/sites/default/files/final_ward_maps/33_F_Ward.pdf","33 Ideal colony - Mahatma Society","Ideal colony - Mahatma Society","87020","64918","4168","478"
"34","http://www.pmc.gov.in/sites/default/files/final_ward_maps/34_F_Ward.pdf","34 Warje - Kondhave Dhavde","Warje - Kondhave Dhavde","90553","67838","6149","1274"
"35","http://www.pmc.gov.in/sites/default/files/final_ward_maps/35_F_Ward.pdf","35 Ramnagar - Uttamnagar Shivane","Ramnagar - Uttamnagar Shivane","56845","64503","8835","1460"
"36","http://www.pmc.gov.in/sites/default/files/final_ward_maps/36_F_Ward.pdf","36 Karvenagar","Karvenagar","53971","66834","3647","774"
"37","http://www.pmc.gov.in/sites/default/files/final_ward_maps/37_F_Ward.pdf","37 Janata Vasahat - Dattawadi","Janata Vasahat - Dattawadi","33089","69672","14209","836"
"38","http://www.pmc.gov.in/sites/default/files/final_ward_maps/38_F_Ward.pdf","38 Shivdarshan - Padmavati","Shivdarshan - Padmavati","74532","64221","13043","727"
"39","http://www.pmc.gov.in/sites/default/files/final_ward_maps/39_F_Ward.pdf","39 Market yard - Maharshinagar","Market yard - Maharshinagar","75355","60537","10854","613"
"40","http://www.pmc.gov.in/sites/default/files/final_ward_maps/40_F_Ward.pdf","40 Bibvewadi - Gangadham","Bibvewadi - Gangadham","61706","62740","8167","531"
"41","http://www.pmc.gov.in/sites/default/files/final_ward_maps/41_F_Ward.pdf","41 Kondhva Kh - Mithanagar","Kondhva Kh - Mithanagar","36222","66150","3490","313"
"42","http://www.pmc.gov.in/sites/default/files/final_ward_maps/42_F_Ward.pdf","42 Ramtekadi - Sayyadnagar","Ramtekadi - Sayyadnagar","52009","49025","9370","252"
"43","http://www.pmc.gov.in/sites/default/files/final_ward_maps/43_F_Ward.pdf","43 Wanawadi - Kausar Baug","Wanawadi - Kausar Baug","57314","66468","6296","671"
"44","http://www.pmc.gov.in/sites/default/files/final_ward_maps/44_F_Ward.pdf","44 Kale Boratenagar - Sasanenagar","Kale Boratenagar - Sasanenagar","51101","55737","6531","656"
"45","http://www.pmc.gov.in/sites/default/files/final_ward_maps/45_F_Ward.pdf","45 Fursungi","Fursungi","75182","55957","6750","649"
"46","http://www.pmc.gov.in/sites/default/files/final_ward_maps/46_F_Ward.pdf","46 Mohammad wadi - Uruli Devachi","Mohammad wadi - Uruli Devachi","159910","52720","8026","769"
"47","http://www.pmc.gov.in/sites/default/files/final_ward_maps/47_F_Ward.pdf","47 Kondhva Bk - Yewalewadi","Kondhva Bk - Yewalewadi","124986","54492","9206","807"
"48","http://www.pmc.gov.in/sites/default/files/final_ward_maps/48_F_Ward.pdf","48 Upper Super Indiranagar","Upper Super Indiranagar","33036","56884","14691","592"
"49","http://www.pmc.gov.in/sites/default/files/final_ward_maps/49_F_Ward.pdf","49 Balajinagar - Shankar Maharaj Math","Balajinagar - Shankar Maharaj Math","41928","58027","4861","301"
"50","http://www.pmc.gov.in/sites/default/files/final_ward_maps/50_F_Ward.pdf","50 Sahakarnagar - Taljai","Sahakarnagar - Taljai","42038","61244","16032","453"
"51","http://www.pmc.gov.in/sites/default/files/final_ward_maps/51_F_Ward.pdf","51 Vadgaon Bk - Manikbaug","Vadgaon Bk - Manikbaug","66207","67289","5172","596"
"52","http://www.pmc.gov.in/sites/default/files/final_ward_maps/52_F_Ward.pdf","52 Nanded City - Sun City","Nanded City - Sun City","85463","66626","3343","567"
"53","http://www.pmc.gov.in/sites/default/files/final_ward_maps/53_F_Ward.pdf","53 Khadakwasla - Narhe","Khadakwasla - Narhe","85927","57901","6995","570"
"54","http://www.pmc.gov.in/sites/default/files/final_ward_maps/54_F_Ward.pdf","54 Dhayari - Ambegaon","Dhayari - Ambegaon","103866","64074","7675","1251"
